iter	Passed	Remaining
0	1	146
1	2	142
2	4	136
3	5	124
4	6	123
5	7	121
6	9	120
7	10	120
8	11	117
9	12	113
10	13	110
11	14	107
12	16	107
13	17	105
14	18	104
15	19	103
16	20	101
17	21	100
18	23	98
19	24	97
20	25	97
21	27	96
22	28	94
23	29	93
24	30	92
25	32	91
26	33	90
27	34	88
28	35	88
29	37	86
30	38	86
31	39	84
32	41	83
33	42	82
34	43	81
35	45	80
36	46	79
37	47	78
38	49	77
39	50	75
40	51	74
41	52	72
42	53	71
43	55	70
44	56	69
45	57	67
46	59	67
47	60	65
48	62	64
49	63	63
50	64	62
51	66	61
52	67	59
53	68	58
54	69	56
55	70	55
56	72	54
57	73	53
58	75	52
59	76	50
60	77	49
61	78	48
62	80	47
63	81	45
64	82	44
65	83	43
66	84	41
67	86	40
68	87	39
69	88	37
70	89	36
71	90	35
72	91	33
73	92	32
74	94	31
75	95	30
76	96	28
77	97	27
78	99	26
79	100	25
80	102	23
81	103	22
82	104	21
83	106	20
84	108	19
85	110	17
86	112	16
87	113	15
88	115	14
89	116	12
90	117	11
91	119	10
92	121	9
93	122	7
94	124	6
95	125	5
96	126	3
97	128	2
98	129	1
99	131	0
